"","date","page_views"
"248",2020-01-10,3077
"249",2020-01-11,1952
"250",2020-01-12,2342
"251",2020-01-13,5917
"252",2020-01-14,4399
"253",2020-01-15,3170
"254",2020-01-16,2704
"255",2020-01-17,3158
"256",2020-01-18,1779
"257",2020-01-19,2071
"258",2020-01-20,2685
"259",2020-01-21,4908
"260",2020-01-22,5114
"261",2020-01-23,3546
"262",2020-01-24,3078
"263",2020-01-25,2585
"264",2020-01-26,2564
"265",2020-01-27,3814
"266",2020-01-28,2997
"267",2020-01-29,2829
"268",2020-01-30,2892
"269",2020-01-31,2732
"270",2020-02-01,2184
"271",2020-02-02,2372
"272",2020-02-03,2793
"273",2020-02-04,2625
"274",2020-02-05,3163
"275",2020-02-06,3313
"276",2020-02-07,2644
"277",2020-02-08,1483
"278",2020-02-09,2293
"279",2020-02-10,4224
"280",2020-02-11,4593
"281",2020-02-12,3231
"282",2020-02-13,7584
"283",2020-02-14,4680
"284",2020-02-15,3767
"285",2020-02-16,4102
"286",2020-02-17,4443
"287",2020-02-18,3841
"288",2020-02-19,4035
"289",2020-02-20,3538
"290",2020-02-21,5009
"291",2020-02-22,2872
"292",2020-02-23,2579
"293",2020-02-24,4678
"294",2020-02-25,4063
"295",2020-02-26,12826
"296",2020-02-27,16860
"297",2020-02-28,8362
"298",2020-02-29,2891
"299",2020-03-01,2908
"300",2020-03-02,4114
